name,image_url
002_master_chef_can,https://lh4.googleusercontent.com/B0lF32cgyGx9nxV911MPPb4Di44kuInBehVdq4UmqTIxYFFubX3c6jLvFN0=w2400
053_mini_soccer_ball,https://lh4.googleusercontent.com/hXM9hSjRj1TXuGzyY3bI2yXljmDyrr86eo5YvwPkmWltrn2ZfcgSEtP-SmY=w2400
001_chips_can,https://lh5.googleusercontent.com/3DafffOTtt-i3PGl2L5ZKMQUfmG77naBs1n6l6orR_gI7dbUJ8AMsqFjNLA=w2400
003_cracker_box,https://lh4.googleusercontent.com/AyQEHZ56t6D5JIX1nE1M1ikCs8tVjHDKb7JbFtuHQJhb6xNTgVHtg6TyJDE=w2400
004_sugar_box,https://lh3.googleusercontent.com/pN8oSyqZSWz7ajBjyoq_UGHuNXJLpAe_U588IDshRs-3_xHdAxNGoTgoREI=w2400
005_tomato_soup_can,https://lh6.googleusercontent.com/jVZhnf3hZwh7mEU7tqPXDEMsTP-mNrBNQhfYM9fPl4_EelVml8Fle09M1r8=w2400
006_mustard_bottle,https://lh6.googleusercontent.com/rDTh-kpLEhKo2JFUstIrxAVVoJ2BJKE_EglS4Rk-ZnkchYD6zVQg31f4ghc=w2400
011_banana,https://lh3.googleusercontent.com/uiriUwaiQ0aSZA2WHCb-oRVhVwcNCRoeFDaA6l9bZK_H1-w1oNePOH34_6o=w2400
012_strawberry,https://lh5.googleusercontent.com/HceR6CryrNGmmnx-6yoYPJXo0bhMk0C5_kiu4w7kTE3hI3ozIrZSrbV9ubs=w2400
013_apple,https://lh4.googleusercontent.com/ZH4xW9KTRZa3b92mFI5RjJERSILVuZ4a_sjXbWj5SuW6ZwOvYGOXsUjI4uY=w2400
014_lemon,https://lh3.googleusercontent.com/1xJuBKJdTFaUM1Nz2xfJZCxYO9uRq7luou0geIrTvXm28K9kTBnIEc0X77c=w2400
015_peach,https://lh6.googleusercontent.com/ySjOuKGnw6JYEOEnaAIK7DjvdYt4YgnxFTvqTnue5kKGpeFArssK4-3qmT0=w2400
016_pear,https://lh6.googleusercontent.com/Tjfz-yjcu5pA13uC42T3EAlJfbqZJ9ZyEmaihHbQDXRy819g_YOtRTRS55U=w2400
017_orange,https://lh3.googleusercontent.com/siPKxAffUa8G8QbNK3xRWMaa6OUH89v_uVozCPaK29uqsjw8sGi0lwie6hw=w2400
